,clean_reviews,rating
136,fact hard remember part ray charles acted played man ray charles legendary ray charles life provided excellent biographical material film go well beyond another movie musician hitchcock great director ironically mostly find film total waste time watch secondly hitchcock pretty much perfected thriller chase movie pandering audience sabotage film hence whole story lack certain energy plot simply rumble like machine desperately depending addition new scene usual hitchcock logic flaw mishima extremely uninteresting chilly unremarkable movie author living working chilly abstruse culture flat reenactment hold attention emotionally adrift stagy rest sits awful soldier singing song masculinity pledge hairsplitting purity admiration sword etc bore piece kill momentum movie quicker anyone else schrader ha made resume full lousy amateurish film first watched movie loved wa totally fascinated music dancing everything however recently watched whole thing dvd wa completely struck extremely stupid storyline wa contained hole inconsistency frankly whole lot crap horrid dancing wa mean realistic world would never gotten ballet repertory whole thing wa quite pathetic character development also lacked depth woa talk awful waste time wa horrible worst sappiest dialogue could go really made unwatchable wa direction poor actor even tell talent pathetic line speak director gave action check director filmography site see film chance would even good made tv flick good intention made film great film might one greatest film ever made film ha great actor master director significant theme least would significant theme undertone fifty existential world weariness aerial scene ought thrilled sens imagination character one might deeply care regrettably film fails movie lack visual interest drama expression feeling celebration patriotism underline narrative actress ha worse used june allison movie yet enjoy watching unfortunately bad movie plain bad bad script bad direction horrible acting make one plain bad dialogue sucked cinematography called sucked soundtrack sucked acting sucked concert sequence sucked wa nice wa funny wa funny overall movie wa cheap trash movie funny considering ridiculousness came feeling angry spoiler whatever else said surface superbly crafted cinematography simply stunning say least fx nothing state art conceptually show offer little bit everything everybody parent kid fantasy fx fan single sour note struck acting wise either surprisingly solid casting thing considered job well done thanks good movie like wa done released one best mexican movie ever one le understood even mexican matter identified felt rank highly great noir crime drama incredible performance belmondo lino ventura attention given every character complex psychological portrayal detailing loyalty treachery love hope tremendous excellent drama excellent thriller excellent film best melville everything film simply incredible truly take journey eye soul child black water thriller manages completely transcend limitation indie flick continually subverting expectation emerge intense experience performance real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous thoroughly enjoyed christopher eccleston took control tardis continuation series sure wa trying film wa turn good day feeling night disturbing memory guess succeeded lot beautiful place wa forced like everything movie lame movie really pi ed even get started jerky camerawork saw theater thought wa going sick summary witticism witty plot well said let one go acting wa bad really bad even billy bob rise script wa worse camerawork bad rating amazing finale possibly best trilogy time kieslowski never cease amaze one favourite director one talented director history cinema use colour french flag three film wa nothing short incredible every shot every scene wa like work art three visually appealing movie ever seen subtle connection three film awesome mention huge spoiler loved ending character three film remaining survivor ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many year think better way end film smile face great way wrap amazing film trilogy recommend everyone love film movie anything work art movie trilogy literally vomited watching film think wa one people found another one roth pearl performance awarded wa stunning story wa told eloquently francis ford coppola year earlier really unfolds gradually leaf room character develop wonderful location lie story contrast beautiful directed film nicola roeg wih sublime cast translating movie living first movie year working experience found offensive intelligence someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scene pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0
137,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense thing,0
138,one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character wa much,0
139,fun funny movie,1
140,highly entertaining angle,1
141,feature outlandish array memorable psychotic lovable nut,1
142,enjoyment get see run around play game dangerous,1
143,even ha sweet moment,1
144,telephone repair man wa really funny reaction nut bitchy bos truly genuine,1
145,character film tremendously well played,1
146,really find funny,1
147,actually smart movie,1
148,brilliant twist ending,1
149,love ending perfect shed tear thrilled seeing movie like never forget cult cult classic ha depth character man underneath malta setting dry barren dialogue movie terrible hockey scene terrible defensemen playing like year old goalie diving shot foot wide net etc seen waste time call movie drama ridiculous started watching believe character particular relationship bakery assistant waitress work wa superficial movie gave feeling wa watching play rather film character stagey storyline wa lot like stage farce time pyromaniac waylaid assistant wa bored care happened next switched glad pay see laugh even smile anything one big yawn really good show watch educational child year old barney definitely super de duper pretty funny babie bop cute kid cool storm trooper even bad enough make list wonderfully terrible movie,0
150,lame,0
151,guy said better dialogue potted plant ha right,0
152,everything movie stupid,0
153,even love bad movie watch movie,0
154,shameful,0
155,would give television series plus could,1
156,writer smack think best actor actress bonus show character real,1
157,must say taped episode find watching,1
158,know gave,1
159,know exactly movie latched endearing movie ha become special part family memory,1
160,totally absolutely recommend movie anyone like good wholesome family movie exactly,1
161,thing four kid get absolutely hilarious watch,1
162,one best movie show strong sibling bond,1
163,much interesting action suspense le unneeded controversy,1
164,everything acting cinematography wa solid,1
165,definitely worth checking,1
166,damian talented versatile many way writing portraying different character screen,1
167,movie ha cutting edge,1
168,pleased know modern day genius letting passion art drive taking u audience,1
169,new character memorable found forgetting wa,0
170,felt though going ireland absolutely nothing whatsoever,0
171,make scared horrified make sympathetic towards character wa simply annoying,0
172,jerky camera movement also annoying,0
173,plot wa pretty much every cheap horror,0
174,wa pathetic attempt give character depth really work rest plot,0
175,guess wa supposed clever twist shed light situation wa stupid,0
176,see probably leave shelf,0
177,elia koteas jack palance play good role angelina hot get naked billy drago appears cool usual cameo sven ole thorsen help make enjoyable movie good acting decent budget,1
178,wa awesome movie bought ebay,1
179,really loved story line poler bear wa kinda cute anyone ha question fort steele ask away,1
180,totally unfunny movie top pathetic unrealistic throughout whole minute utter torture probably looked watch time,0
181,lucy bell much higher crap sink low quite depressing,0
182,movie doe make sick watching slacker make excuse stupid action minute,0
183,god never get minute back,0
184,think wonderful part literally full wonder excerpt work,1
185,set especially designed work camera amazing stylized beautiful effective,1
186,could used exemplar set designer,1
187,story powerful exploration nature man art,1
188,watching film wanted learn work artist,1
189,highly recommend movie anyone interested art poetry theater politics japanese history,1
190,wind lion see wonderful rendering america imperial age,1
191,make story different terrific production value faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,1
192,though wind lion told largely eye son every member family identify one character whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless lieutenant roosevelt big stick,1
193,high adventure best,1
194,think wa robert ryans best film portrayed someone like father wa schizophrenic real life father although never murdered anyone wa affected second world war made worse,1
195,humour get get day wa apt,1
196,mother brother saw robert ryan portraying type man wa good imitation type individual wa impressed,1
197,almost song cover girl old fashioned tuneful,0
198,annoying thing cover girl way rita hayworth put pedestal,0
199,unfortunately cover girl example hollywood used exploit woman financial gain,0
200,non linear narration thus many flashback every part articulated quite well,1
201,good cinematography also make monica bellucci look beautiful,1
202,good commentary today love undoubtedly film worth seeing,1
203,people first timer film making think excellent job,1
204,wa popular wa cinema good house good reaction plenty laugh,1
205,feel good film felt came cinema,1
206,ha northern humour positive community represents,1
207,rather enjoyed,1
208,liked,1
209,take seriously,0
210,really created unique feeling though,1
211,vivian schilling excellent job script,1
212,world better garbage theatre today,1
213,role wa played well,1
214,screamy masculine right,1
215,camera really like movie,1
216,would casted role ready script,1
217,european movie nice throwback time student experience living abroad interacting nationality although circumstance slightly different,1
218,fan movie sucked really bad,0
219,even worse ticker,0
220,movie wa bad,0
221,like building used couple location maybe poor hummh,0
222,blew,0
223,movie excellent angel beautiful scamp adorable little yelp scared funniest part scamp caught curtain angel scamp singing ive never feeling totally recommend movie coming special edition june cover ha scamp garbage angel underneath lid,1
224,cant explain movie romantic charming hilarious adorable junkyard scene funny junkyard dog something special funny laughed kid love buy come ha new feature,1
225,chosen tortured disgusting piece blatant american propaganda,0
226,show made american stupid full hatred clich admitted elsewhere,0
227,almost everyone involved must return school acting utterly predictable bad script pile garbage round,0
228,wish could enter negative value admins,0
229,set bad look place thunderbird episode,0
230,use slow motion needlessly repeat throughout movie well backed bad acting bad kind word continuity scene thrown reason whatsoever vehicle looked like made corn flake box directorial style bordered stupidity,0
231,oh yeah storyline wa pathetic,0
232,hate writing bad review film especially really like star film bad believe one second anyone could proud,0
233,filmmaker director would hide head sand spent whatever amount money time movie,0
234,short wa monumental waste time energy would recommend anyone ever see film,0
235,came free dvd player bought still turned thing halfway wa embarrassed howell,0
236,setting,0
237,interesting premise billy drago always good dangerous nut bag side note love see drago stephen mchattie lance hendrikson flick together talk raging cheekbone,1
238,soundtrack terrible either,1
239,acting even professional drago debbie rochon wa terrible directing worse perhaps contributory former dialog chimp like camera work barely tolerable,0
240,still wa set got big oy vey scale,1
241,yes simplifying thing sake brevity really core problem film ha much going without real fulfilling explanation,0
242,good job quite amusing,1
243,convoluted plot convince much film wa watched weird questioning glance,0
244,let girlfriend talk seeing bad idea hated,0
245,last minute movie also bad well,1
246,bela lugosi wa totally extraneous intoning odd line,0
247,acting wa decidely wooden though worse period universal b movie,0
248,like armand assante cable company summary sounded interesting watched twice already probably,1
249,believe screenwriter good job tying loose end,1
250,score mostly plot,1
251,say like spoiler want one believe film worth time,1
252,wow bad film,0
253,frightening least barely comprehensible,0
254,plot hang together acting absolutely appalling,0
255,even good camp value,0
256,expecting oscar material,0
257,iq particularly stupid mollusk see one coming,0
258,film use word loosely insult movie going public,0
259,someone involved knew string together narrative,0
260,get simply nothing lower,0
261,one watched recently fox movie channel wa disappointed,0
262,know wa contract player little control script acting wa bad script,0
263,victor mclaglen wa even bad brian donlevy wa almost unrecognizable,0
264,considering relation screen taylor stanwyck wa surprising little chemistry wa screen two,0
265,premise film wa ridiculous president u,0
266,death row scene entirely unmoving,0
267,thing worse taylor acting wa stanwyck singing,0
268,whatever producer wa going missed entirely,0
269,wa deeply impressed character played,1
270,knew saw film great thing come gifted actor,1
271,cheap cheerless heist movie poor characterisation lot underbite style stoic emoting think chow yun fat better tomorrow cheesy clich thrown abandoned factory ready poorly executed flying judo roll la john woo,0
272,even squib look awful,0
273,point proceeding doe look remotely like america,0
274,plot derivative predictable ending like mercy killing,0
275,awful dialogue hopeless overacting everyone get shot top real waste space time,0
276,wa uneasy bad movie wa scared,0
277,dialogue composed thing make little sense,0
278,minute footage wasted show mediocre elderly actor awkwardly babbling overwrought pseudo satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made word,0
279,directing sloppy best,0
280,hackneyed writing certainly made even worse bad directing,0
281,course acting blah,0
282,acting whole cast could put scale balanced perfectly overacting underacting,0
283,finally get ending would great handled competent people jerry falwell,0
284,loved movie wa great portrayal family share ups end knew special love,1
285,seen many movie starring jaclyn smith god wa one best though came year ago,1
286,movie contained star cast loved wa opened eye see actor seen,1
287,movie wa kind long length enjoyed every minute,1
288,overall rate movie scale,1
289,lifetime doe air enough anyone know store sell let know must,1
290,particularly remember sens assaulted strident cord music would blare little warning even le meaning,0
291,sort pap screened afternoon punish unemployed job,0
292,totally different load understatement black comedy film get see remember,1
293,movie creates universe fascinating every way,1
294,movie really got,1
295,see,1
296,really hope team behind movie make movie continue kinda weird style,1
297,forgot casting superb trond fausa aurv g perfect role bothersome man understand,1
298,movie good humorous comment life,1
299,found move beautiful enjoyable uplifting,1
300,initially local site film wa filmed buffalo intrigued,1
301,later found lost power film,1
302,entire audience applauded conclusion film,1
303,left theater lilt step joy heart hope human race,1
304,duris ha wholesome appearance give fine performance,1
305,rest cast also play well,1
306,cinematography noteworthy including fine view barcelona famed gaudi tower,1
307,ten minute film started second thought,0
308,half way film started dislike,0
309,time film ended disliked despised,0
310,film lack convincing script,0
311,script look rough draft wa written shooting began finished script wa completed,0
312,thing happen character personality change plot twist occur real reason script call,0
313,cast good,1
314,worth checking,1
315,probably irritating show ever seen entire life,0
316,indescribably annoying idiotic show ever seen,0
317,everything bad,0
318,could understand kind idiot would produce mess first place mention several season,0
319,script bad bad contains cheesiness unethical joke normally see rated r nc movie,0
320,casting also horrible cause see really really bad actor period,0
321,final word show real torture,0
322,zillion time away reality,0
323,watching washing machine twirling around hurt eye much show,0
324,rating grade z note show bad even mother cast pull daughter show,0
325,th century fox road house quite silly noir implausible unmitigated bore movie,0
326,full unconvincing cardboard character blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,0
327,widmark character turn unintentionally comical,0
328,losing marble early proceeding totally implausible unconvincing,0
329,enough mess movie picture also marred constant use studio set indoor exterior,0
330,whatever prompted documentary beyond,0
331,serious spoiler movie wa huge disappointment,0
332,many problem dont know start,0
333,cast wa great,1
334,steve martin delivers really funny performance middle aged upper class uptight white guy,1
335,add betty white jean smart great cast everyone played part really well,1
336,movie make lot serious mistake,0
337,first enough racial stereotype racial joke offend everyone,0
338,movie littered overt racial slur towards black cast member return white depicted moron boob,0
339,putting race card aside let look major flaw film destroy latifa character,0
340,real plot,0
341,wouldnt see movie free,0
342,steamboat willie amazingly important film cinema history,1
343,second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly wa ground breaking,1
344,yet hear mickey speak ton sound effect music throughout film something take granted wa huge crowd pleaser,1
345,however seeing short year wa amazed timeless film actually,1
346,adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,1
347,clever real crowd pleaser film still rank among mickey best film even wonderful year,1
348,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,0
349,terribly disappointed film would receive many award accolade especially far deserving work film,0
350,original body soul masterpiece,1
351,john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographer ever grace screen james wong howe,1
352,think redeeming quality remake,0
353,may bad film ever made,0
354,bad well bad,0
355,movie solid example bad plot bad idea way,0
356,shame see good actor like thomerson james make living mess like,0
357,thought wa bad,0
358,film terrible credit version wa watchable,0
359,let start problem acting especially lead professor wa bad,0
360,script big flawed mess,0
361,best example dumb writing established turn zombie student back human removing necklace containing piece meteorite,0
362,director paul matthew also wrote directed weak monster movie grim clearly know pace film,0
363,movie terribly boring place,0
364,lighting awful,0
365,film look cheap bland,0
366,one disappointing aspect lack notable gore,0
367,convention never worked well past certainly work,0
368,visual effect awful,0
369,cg opening sequence space looked like could created microsoft slideshow god sake,0
370,explosion gas tank end wa awful,0
371,okay like consider fair critic give credit credit due creature effect actually pretty cool,1
372,got ta love close ups slimy drooling teeth,1
373,sum film breeder terrible cheaply made horror movie avoided like ebola virus,0
374,recommended,0
375,almost unbearable watch screen ha little charisma terrible comedic timing,0
376,aside terrible lead film ha load debit,0
377,understand supposed cheap popcorn comedy mean ha completely insult intelligence writing incredibly hackneyed border offensive,0
378,lewis black considerable talent wasted incendiary unrestrained pg rating certainly allow,0
379,film sole bright spot wa jonah hill look almost unrecognizable fan recent superbad due amount weight lost interim,1
380,originality freshness first movie spent remake little else offer,0
381,budget wa evidently limited,0
382,wa reflected cast also par script borrowed much earlier classic,0
383,however wa decent acting action location work balance thing,0
384,filmiing wa le expansive,0
385,failed convey broad sweep landscape great part original,0
386,generally lacked imagination,0
387,recommended,0
388,possible movie get worse,0
389,plot keep going first place,0
390,even woman finally show sign improvement expected thing happen time film might far asleep,0
391,beware trashy cult movie trash period,0
392,believe even sequel,0
393,precisely giving bad review,0
394,child truly enjoyed show proudly say enjoyed big time even classical wb cartoon,1
395,tiny toon kept vibe delivered one popular funny underrated cartoon ever created,1
396,memory murky say enjoyed every single episode product related show,1
397,easily none cartoon made laugh tender way getting dark sitcom oriented teenager,1
398,character funny peculiarity true lead character,1
399,every single character wa hilarious deserved called lead,1
400,every element story wa top excessively phony contrived wa painful sit,0
401,line seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,0
402,perabo ha nice energy level obviously comfortable front camera,1
403,simply excuse something poorly done,0
404,saw movie thought stupid movie,0
405,even stupid thought idea volcano los angeles,0
406,honest unbelievable nonsense foolish,0
407,conclusion bother movie volcano los angeles nothing nonsense,0
408,story line awful,0
409,painful,0
410,accent absolutely abysmal,0
411,also enough hypocrisy film make vomit,0
412,waste time watching rubbish non researched film,0
413,believe pitch black wa done well,1
414,character interesting want find longer movie go think people surprised doe make,1
415,go watch,1
416,omit watching,0
417,funny,1
418,rating,0
419,character interesting really care,1
420,instant classic great soundtrack catchy song ending credit,1
421,miss,1
422,masterful piece film making many theme simmering occasionally boiling wart study poet bohemian self indulgent wartime year span aerial bombardment london outward tranquillity welsh coastal retreat borderline friendship lust love dedication art experience versus practical concern jealousy rivalry cowardice egotism versus heroism self sacrifice,1
423,mature subtle script suggests occasionally brings dramatic focus underlying tension well served perfect performance apart odd inappropriate smiling keira knightley prone though perhaps direction time character often mention,1
424,exquisite visual composition moment inventive elegant use close camera angle lighting including pointillistic faux home movie footage wonder joy behold,1
425,continuously beautiful look bertolucci relationship convincing narrative engaging master work,1
426,basic premise wasted since sidelined inexplicable focus documentary crew,0
427,regardless film fails level,0
428,avoid cost,0
429,saw film christmas great film wa,1
430,thought errol flynn wa brilliant custer ha since become favourite actor,1
431,acting alongside olivia de havilland wa brilliant ending wa fantastic,1
432,always known errol flynn wa brilliant actor wa dad favourite actor grew watching film child,1
433,watched film realised great actually wa,1
434,give film,1
435,know jim connor wa energetic nobody could much george wa well dull,0
436,really seem want hosting voice monotonous get involved guest,0
437,lovely little thriller hitchcock lot nice shenanigan surrounding murdered spy kidnapped child nasty church foreign plot random taxidermist,1
438,jimmy stewart ever great hero hitchcock story rip along cool climax embassy function lack brooding menace hitchcock black white low budget original,1
439,nevertheless yet another wonderful film great master stable,1
440,say film wa excellently produced top rating typical sci fi film,1
441,excellently produced one sci fi best producer scot vandiver,1
442,entertaining nonetheless,1
443,campy sort film joy watch,1
444,barely boring moment film plenty humorous part,1
445,cast always entertaining usual,1
446,overall delight,1
447,movie mind bendingly awful even created,0
448,film lack real scare tension medical terminology used throughout bit iffy say least say insulin dependant diabetic,0
449,least said acting better,0
450,movie doe excellent job revealing complexity task incredible challenge facing south africa,1
451,believe every one see movie think people outside south africa understand past attempted truth reconciliation process,1
452,nothing short magnificent photography cinematography film,1
453,acting fantastic story seamlessly woven together dog splendid must rent view see,1
454,afraid subtitle worth little aversion therapy,1
455,excellent performance,1
456,still good actor around,1
457,also great directing photography,1
458,true shakespear must shakespear fan,1
459,macbeth jason connery moved tear final monolog brief candle gave sphere moral decay dark force human face make interesting,1
460,helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil,1
461,love death decay shakespears lyric one,1
462,witty delightful adaptation dr seuss book brilliantly animated upa finest thoroughly deserving academy award,1
463,special mention made superb music score sound effect integral element helping make memorable enjoyable cartoon,1
464,however paul schrader ha indeed made film mishima superb complex,1
465,also notable john bailey fine crisp beautifully colored cinematography great production design costume eiko ishioka went memorable costume coppola dracula received well deserved oscar,1
466,even allowing poor production value time format kind mini series baaaaaad,0
467,unless visually collect extant film austen work skip one,0
468,watch however small consolation actress playing anne sister wonderful job role,1
469,good,0
470,speaking music unbearably predictably kitchy,0
471,film dropped ball,0
472,stunning movie,1
473,raw sublimely moving,1
474,felt like gripping intelligent stage play without overly theatrical feeling one actually get watching people stage play everyone terror white lie escalating monstrous consequence,1
475,main player mesmerising,1
476,tom wilkinson broke heart end everyone else judging amount fumbling hanky hand going face among male female alike,1
477,julian fellowes ha triumphed,1
478,national treasure,1
479,go see,1
480,excellent film,1
481,aerial scene well done,1
482,wa also right balance war love,1
483,film give meaning phrase never history human conflict ha much owed many,1
484,kris kristoffersen good movie really make difference,1
485,good film great director,1
486,definitely one better documentary seen looking family relationship marriage,1
487,many continuity error one user commented different car garage joe glass one got wa fact joe facial hair configuration seemed change scene scene,0
488,great movie,1
489,star,1
490,see movie inspiration anyone come overcome fear rejection,0
491,bad actually worth seeing reason,0
492,punishment park brilliant piece cinema,1
493,shot southern california desert using patent faux documentary style watkins creates film like,1
494,one peter watkins accessible film,1
495,advise look,1
496,wont regret,1
497,highly recommended,1
498,well keep thinking bad,0
499,mediocre miserable hollow laughable predictable piece garbage,0
500,case bad laughable,0
501,bad performance play angela bennett computer expert home time,0
502,film nothing pretext show ridiculous action scene,0
503,awful,0
504,still bad actress repeating robotic face move picture,0
505,result well shame,0
506,delete film mind,0
507,one worst show time,0
508,show would begin smart ed comment would totally wall uncalled,0
509,fat computer geek wa unbelievable bible thumper bad girl actor,0
510,never heard except cole wa totally unbelievable part,0
511,every time opened mouth expect hear see kid pulling plug wa mercy killing horrible show,0
512,story unbelievable actor,0
513,lame would best way describe,0
514,stanwyck morgan perfectly cast many way modern equivalent dickens christmas carol sensibility,1
515,success film depends casting sydney greenstreet alexander yardley character,1
516,attractive set used throughout film eye pleasing gem,1
517,im big fan rpg game movie disgrace self respecting rpger,0
518,line cut audio everything wrong,0
519,find better movie youtube,0
520,top line waste time money one bad come,0
521,lassie movie put sleep forever,0
522,describe painfully dreary time waster film,0
523,mediocre every aspect becomes dull uninteresting mess one forgettable movie seen,0
524,even achievement bad good bad memorable movie,0
525,empty hollow shell movie,0
526,seriously worth wasting kid time,0
527,avoid avoid avoid,0
528,drive barking mad,0
529,transfer good,1
530,nice relaxing late night viewing,1
531,movie full wonderful dancing hence title,1
532,great music terrific scenery,1
533,handle tough issue dignity grace course ha shocking spoiler,1
534,happy wonderful feel good ending,1
535,point journey journey touch every member family,1
536,one movie need see whenever come tv never mind fact already memorized,1
537,nothing new,0
538,wa done second movie,0
539,movie ha almost action scene little comedy,0
